metricas usando primero gemini 2.0 flash 001,,,,,,,,,,,
pregunta,correctness,helpfulness,similarity,promt tokens,completitionTokens,totalTokens,executiontime,,,,
¿Qué trámite debo realizar antes de ingresar a las Islas Galápagos si voy a trabajar?,3,3,"0,2692307692",2702,1246,3948,"26,746",,"""correcta"": true, ""La respuesta está respaldada por los fragmentos, que indican que se debe presentar la residencia temporal auspiciada por la autoridad nominadora y debidamente legalizada en el Consejo de Gobierno de Régimen Especial para Galápagos.""",,"Debes presentar tu residencia temporal auspiciada por la autoridad nominadora debidamente legalizada en el Consejo de Gobierno de Régimen Especial para Galápagos. Además, debes tener una hoja de vida actualizada en la red socio empleo debidamente fundamentada.
"
¿Qué es una residencia temporal en Galápagos y cómo se diferencia de otras categorías migratorias dentro del archipiélago?,5,2,"0,309375",2735,1084,3819,"19,827",,"""correcta"": true, ""La respuesta es correcta ya que el fragmento define la residencia temporal como una autorización que especifica las actividades, el período de estadía y la identificación del residente permanente que la auspicia. Sin embargo, no se diferencia de otras categorías migratorias en los fragmentos.""",,"La residencia temporal en Galápagos es una autorización que permite a una persona vivir en la provincia por un tiempo determinado. Esta autorización especifica las actividades que el residente puede realizar durante su estancia, el período autorizado y la identificación del residente permanente que respalda su ingreso."
¿Cuántas veces puedo cambiar de auspiciante mientras tengo residencia temporal en Galápagos?,3,2,"0,2460732984",2638,979,3617,"15,532",,,"""correcta"": false, ""Los fragmentos indican que cambiar de auspiciante sin autorización es motivo para perder la residencia, pero no mencionan un límite de cambios permitidos.""",El cambio de auspiciante sin la autorización de la Secretaría Técnica del Consejo de Gobierno del Régimen Especial de la provincia de Galápagos podría resultar en problemas con tu residencia.
"Si he trabajado por 5 años consecutivos como residente temporal en Galápagos, ¿puedo ser contratado nuevamente bajo la misma categoría?",2,4,"0,3479532164",2746,1263,4009,"18,155",,,"""correcta"": false, ""La respuesta no se puede determinar con los fragmentos proporcionados. Los fragmentos indican que después de 5 años de residencia temporal en Galápagos, se debe abandonar la provincia, pero no especifican si se puede ser contratado nuevamente bajo la misma categoría después de un período de tiempo fuera de la provincia.""","No, después de cumplir cinco años de residencia temporal en Galápagos, se debe abandonar la provincia. La relación de trabajo y la calificación de residencia temporal no pueden durar más de cinco años, ya sean continuos o interrumpidos.
"
¿Los hijos mayores de edad de residentes temporales en Galápagos pueden obtener una residencia temporal por vínculo familiar?,5,3,"0,365914787",2750,1289,4039,"16,897",,,"""correcta"": false, ""Los fragmentos hablan sobre la residencia permanente para hijos mayores de edad de personas con residencia permanente obtenida bajo la Disposición Transitoria Octava de la LOREG, no sobre la residencia temporal para hijos de residentes temporales.""","Los hijos mayores de edad de residentes permanentes pueden obtener la residencia permanente siempre que demuestren haber permanecido vinculados a las islas, residiendo con su padre o madre. La Secretaría Técnica del Consejo de Gobierno resolverá motivadamente las solicitudes que por esta causa se presentaren. No puedo encontrar información sobre los hijos mayores de edad de residentes temporales.
"
¿Cuántas veces se puede solicitar la prórroga de la categoría de transeúnte para permanecer más tiempo en Galápagos?,4,4,"0,3368055556",2714,1294,4008,"18,444",,,"""correcta"": false, ""El fragmento indica que la prórroga es por un periodo adicional similar improrrogable, lo que significa que solo se puede solicitar una vez.""","La categoría de transeúnte solo se puede prorrogar una vez por un período adicional similar, improrrogable, previa solicitud y aprobación del Comité de Calificación y Control de Residencia del Consejo del INGALA. Este plazo adicional no podrá, en ningún caso, sobrepasar los noventa días.
"
¿Cuáles son los requisitos para solicitar la revocatoria de una residencia temporal otorgada por contrato de trabajo en Galápagos?,1,2,"0,2475247525",2624,685,3309,"16,707",,,"""correcta"": false, ""El fragmento no menciona los requisitos para la revocatoria, sino para la justificación de la insuficiencia de profesionales o trabajadores para la solicitud de residencia temporal.""","No puedo encontrar la respuesta en los recursos disponibles sobre las Islas Galápagos.
"
¿Qué es la credencial de residencia para las Islas Galápagos y qué beneficios otorga?,4,3,"0,3746130031",2709,1242,3951,"14,456",,"""correcta"": true, ""La credencial de residencia permanente o temporal es un documento adicional a la cédula de identidad en Galápagos, con validez jurídica para actos públicos y privados (Art. 85).""",,"La credencial de residencia permanente o de residencia temporal conferida por la Secretaría Técnica del Consejo de Gobierno, por su naturaleza, tendrá en la provincia de Galápagos, el carácter de documento adicional a la presentación de la cédula de identidad, con validez jurídica para todos los actos públicos y privados."
¿Por qué es obligatorio portar la credencial de residencia (temporal o permanente) mientras permanezco en Galápagos?,4,3,"0,6709401709",2687,1033,3720,"15,693",,"""correcta"": true, ""El Art. 85 indica que la credencial de residencia permanente o temporal tiene el carácter de documento adicional a la cédula de identidad, con validez jurídica para todos los actos públicos y privados en Galápagos.""",,"La credencial de residencia permanente o temporal es un documento adicional a la cédula de identidad, con validez jurídica para todos los actos públicos y privados en la provincia de Galápagos."
¿Es obligatorio obtener la credencial de residencia para vivir o trabajar en Galápagos por más de 60 días?,3,3,"0,3333333333",2758,1069,3827,"17,669",,,"""correcta"": false, ""Los fragmentos hablan de la validez de la credencial de residencia permanente (5 años) y de su obligatoriedad para ejercer ciertos derechos, pero no mencionan si es obligatoria para vivir o trabajar más de 60 días.""","Según la información encontrada, la credencial de residencia permanente o temporal es un documento adicional a la cédula de identidad, con validez jurídica para todos los actos públicos y privados en la provincia de Galápagos. No se especifica si es obligatoria para vivir o trabajar por más de 60 días, pero sí que es un documento importante para trámites.
"
¿Qué requisitos debo cumplir para obtener la credencial de residencia temporal en Galápagos por primera vez?,4,2,"0,5531914894",2719,1106,3825,"17,222",,"""correcta"": true, ""La respuesta es correcta porque está directamente respaldada por los fragmentos, que indican que se debe presentar la residencia temporal auspiciada por la autoridad nominadora debidamente legalizada en el Consejo de Gobierno de Régimen Especial para Galápagos.""",,"Para obtener la credencial de residencia temporal en Galápagos por primera vez, se requiere presentar una residencia temporal auspiciada por la autoridad nominadora, debidamente legalizada por el Consejo de Gobierno de Régimen Especial para Galápagos y una hoja de vida actualizada.
"
¿Qué documentos debo presentar para renovar o reemplazar mi credencial de residencia en caso de pérdida o deterioro en las islas galapagos?,5,2,"0,5193133047",2679,1194,3873,"18,064",,"""correcta"": true, ""El fragmento indica que en caso de pérdida de la credencial de residencia, se debe adjuntar a la solicitud la denuncia ante la autoridad competente.""",,"Para renovar o reemplazar tu credencial de residencia en las Islas Galápagos por pérdida o deterioro, debes realizar una solicitud expresa. En caso de pérdida, se debe adjuntar a la solicitud la denuncia ante la autoridad competente."
¿Cuál es el tiempo máximo de duración de una residencia temporal en Galápagos?,4,4,"0,4722222222",2613,874,3487,"15,085",,"""correcta"": true, ""La respuesta es correcta. El fragmento indica que la residencia temporal en Galápagos no puede durar más de cinco años, ya sea de forma continua o interrumpida.""",,"La residencia temporal no podrá durar más de cinco años, contados de forma continua o interrumpida.
"
¿Cuáles son los requisitos para cambiar de categoría migratoria de residente temporal a turista dentro de Galápagos?,5,2,"0,70703125",2706,1060,3766,"16,674",,"""correcta"": true, ""El fragmento indica que se deben cumplir las exigencias señaladas para el ingreso de turistas, incluyendo el pago de la tarjeta de control de tránsito y la tasa por ingreso y conservación de las áreas naturales protegidas de Galápagos.""",,"Para cambiar de residente temporal a turista en Galápagos, debes cumplir con los requisitos de ingreso de turistas, incluyendo el pago de la tarjeta de control de tránsito y la tasa por ingreso y conservación de las áreas naturales protegidas de Galápagos.
"
¿Cuál es el tiempo máximo permitido para permanecer como voluntario en Galápagos y qué requisitos se exigen?,1,2,"0,2028469751",2638,868,3506,"14,042",,,"""correcta"": false, ""Los fragmentos mencionan que los voluntarios pueden ingresar a Galápagos para prestar servicios en programas de conservación, investigación, capacitación, educación o asistencia social, pero no especifican el tiempo máximo permitido ni los requisitos exigidos.""",No puedo encontrar la respuesta en los recursos disponibles sobre las Islas Galápagos.
¿Por cuánto tiempo puedo permanecer en Galápagos si vengo con un permiso temporal por razones científicas?,5,4,"0,6422018349",2667,936,3603,"14,717",,"""correcta"": true, ""El fragmento indica que los científicos con permiso temporal pueden permanecer hasta por un lapso máximo de dos años, renovable por una sola ocasión por el mismo lapso de tiempo.""",,"Los científicos que ingresen a la provincia de Galápagos para desarrollar programas de investigación pueden permanecer hasta por un lapso máximo de dos años, renovable por una sola ocasión por el mismo lapso de tiempo.
"
¿Qué es la Declaración Juramentada de Bioseguridad (Galapagos Biosafety Affidavit) y dónde la presento?,2,1,"0,2372881356",2667,884,3551,"14,617",,,"""correcta"": false, ""Ninguno de los fragmentos provistos menciona la Declaración Juramentada de Bioseguridad (Galapagos Biosafety Affidavit). Los fragmentos solo describen el Control de la Bioseguridad y Cuarentena para Galápagos (ABG).""","No puedo encontrar la respuesta en los recursos disponibles sobre las Islas Galápagos.
"
